year,sex,rank,name,size,perc,total_size,total_perc
2013,F,7,Emily,269,0.643879554,2415,5.780554359
2011,M,20,Andrew,269,0.6,"6,489",14.5
2008,M,24,James,269,0.583653366,7916,17.17546486
2007,M,26,Christopher,269,0.588647206,8717,19.07523305
2004,M,22,Isaac,269,0.638878993,7877,18.70799193
2002,F,9,Samantha,269,0.697849379,3252,8.436454199
1998,F,13,Olivia,269,0.693531338,4913,12.6666151
1993,F,18,Jennifer,269,0.698646859,7056,18.32584474
1992,M,36,Brian,269,0.653197999,17082,41.47928707
1991,F,18,Lauren,269,0.688860435,8167,20.91421255
1989,M,36,Timothy,269,0.696638525,17599,45.57673383
1985,F,20,Christina,269,0.782682068,9019,26.24167127
1983,M,37,Jesse,269,0.760961811,18840,53.29561528
1983,M,38,Richard,269,0.760961811,19109,54.05657709
2008,M,25,Ryan,268,0.581483651,8184,17.75694851
2006,M,25,Elijah,268,0.601760374,8454,18.98239626
2005,M,22,James,268,0.633135675,7630,18.02546717
2001,F,13,Abigail,268,0.688591984,4474,11.49537513
1999,M,31,Christian,268,0.656492663,11934,29.23352032
1998,M,31,Jonathan,268,0.656026633,12138,29.7121316
1997,M,28,Dylan,268,0.669481152,11939,29.8243861
1991,M,39,Taylor,268,0.655336838,18568,45.40408363
1986,F,19,Amy,268,0.791564521,8411,24.84272086
1980,F,22,Sara,268,0.812589066,9115,27.6371244
2008,M,26,Mason,267,0.579313936,8451,18.33626245
2005,F,11,Grace,267,0.662596784,3709,9.204387532
2001,M,29,John,267,0.657327852,10454,25.73672419
1998,M,32,Christian,267,0.653578772,12405,30.36571037
1990,F,23,Courtney,267,0.688445969,9760,25.16566537
1987,F,18,Michelle,267,0.783496684,8254,24.22090498
2012,M,20,Jayden,266,0.6,"6,362",14.2
2004,M,23,Caleb,266,0.631753949,8143,19.33974587
2002,F,10,Alexis,266,0.690066672,3518,9.126520871
1987,M,38,Travis,266,0.735985834,18049,49.93912899
1986,M,35,Alexander,266,0.748473508,17306,48.69579898
1984,F,21,Erin,266,0.793603437,8944,26.6841697
1984,M,36,Richard,266,0.751221441,18131,51.20449603
1982,F,23,Andrea,266,0.783435926,9467,27.88266133
2010,M,20,James,265,0.6,"6,577",14.9
2009,F,8,Chloe,265,0.608509954,2944,6.760201153
2009,F,9,Elizabeth,265,0.608509954,3209,7.368711107
1996,F,13,Kayla,265,0.6999102,4895,12.92852992
1995,M,29,Jonathan,265,0.675021652,13082,33.32314433
1994,M,32,Dylan,265,0.669733118,14577,36.84037606
1992,M,37,Nathan,265,0.643485018,17347,42.12277209
1990,F,24,Rebecca,265,0.68328907,10025,25.84895444
2011,M,21,Wyatt,264,0.6,"6,753",15.1
2002,M,25,Logan,264,0.652576937,9038,22.34087257
1992,M,38,Steven,264,0.641056772,17611,42.76382886
1986,F,20,Emily,264,0.779750126,8675,25.62247098
1983,F,22,Angela,264,0.792102973,9557,28.67472771
2008,F,11,Grace,263,0.6,"3,801",8.6
2004,F,11,Samantha,263,0.663990507,3783,9.550859653
2004,M,24,James,263,0.624628904,8406,19.96437478
1999,M,32,John,263,0.644244666,12197,29.87776499
1990,F,25,Amber,263,0.678132171,10288,26.52708661
2013,M,17,Samuel,262,0.6,"5,482",12.2
2013,M,18,Wyatt,262,0.6,"5,744",12.8
2011,M,22,Landon,262,0.6,"7,015",15.7
2010,M,21,Michael,262,0.6,"6,839",15.5
2007,M,27,Dylan,262,0.573329249,8979,19.6485623
2006,F,12,Samantha,262,0.619253587,4001,9.456616796
2005,M,23,Elijah,262,0.618960996,7892,18.64442817
2003,M,25,James,262,0.638712823,8825,21.51389566
1988,M,39,Adam,262,0.70494538,18317,49.2842921
1986,M,36,Nathan,262,0.737218267,17568,49.43301725
1982,F,24,Kimberly,262,0.771654935,9729,28.65431626
2013,M,19,Michael,261,0.6,"6,005",13.4
2010,M,22,Isaac,261,0.6,"7,100",16
2006,F,13,Grace,261,0.616890023,4262,10.07350682
2002,M,26,Christopher,261,0.64516129,9299,22.98603386
1995,M,30,Aaron,261,0.664832646,13343,33.98797697
1991,F,19,Shelby,261,0.66837388,8428,21.58258643
1990,F,26,Katherine,261,0.672975273,10549,27.20006188
1988,F,20,Tiffany,261,0.738330976,8728,24.69024045
1986,F,21,Sara,261,0.770889329,8936,26.39336031
2010,F,9,Madison,260,0.6,"3,150",7.5
2000,F,15,Anna,260,0.659413122,5239,13.28717441
1989,M,37,Adam,260,0.673330916,17859,46.25006474
1981,M,37,Sean,260,0.726520804,18756,52.41009305
2013,M,20,Aiden,259,0.6,"6,264",14
2009,F,10,Madison,259,0.59473237,3468,7.963443478
2009,M,22,Matthew,259,0.6,"7,283",15.9
2007,F,12,Hailey,259,0.599218009,4154,9.610623973
2007,M,28,Owen,259,0.56676441,9238,20.21532671
2005,M,24,Zachary,259,0.611873656,8151,19.25630183
2002,F,11,Isabella,259,0.671907023,3777,9.798427893
2002,F,12,Sarah,259,0.671907023,4036,10.47033492
1984,F,22,Christina,259,0.772719136,9203,27.45688884
1981,F,23,Jamie,259,0.761764706,9648,28.37647059
2012,M,21,Gabriel,258,0.6,"6,620",14.8
2002,F,13,Alyssa,258,0.669312787,4294,11.1396477
2002,F,14,Ashley,258,0.669312787,4552,11.80896049
1993,M,33,Sean,258,0.640770912,15421,38.29972184
1989,M,38,Jesse,258,0.668151448,18117,46.91821619
1987,M,39,Richard,258,0.713850921,18307,50.65297991
1982,F,25,Jamie,258,0.759873943,9987,29.4141902
1981,F,24,Emily,258,0.758823529,9906,29.13529412
1981,M,38,Mark,258,0.720932182,19014,53.13102523
1980,F,23,Jamie,258,0.782268579,9373,28.41939298
2013,F,8,Evelyn,257,0.615156302,2672,6.395710661
2012,M,22,Andrew,257,0.6,"6,877",15.4
2011,M,23,Lucas,257,0.6,"7,272",16.3
2006,M,26,Christopher,257,0.577061254,8711,19.55945752
2006,M,27,Dylan,257,0.577061254,8968,20.13651877
2002,M,27,Elijah,257,0.635273761,9556,23.62130763
2001,M,30,James,257,0.632708831,10711,26.36943302
2000,F,16,Megan,257,0.651804509,5496,13.93897892
1998,M,33,Connor,257,0.629100167,12662,30.99481054
1985,M,37,Travis,257,0.716935866,18322,51.11166904
2013,M,21,James,256,0.6,"6,520",14.6
2012,M,23,Owen,256,0.6,"7,133",16
2002,M,28,Caleb,256,0.632801879,9812,24.2541095
1999,F,15,Alyssa,256,0.660628113,5207,13.43707259
1990,M,38,Richard,256,0.629611412,18899,46.48057059
1986,M,37,Thomas,256,0.720335406,17824,50.15335265
1983,F,23,Jamie,256,0.768099853,9813,29.44282757
1983,M,39,Sean,256,0.724186704,19365,54.78076379
1981,M,39,Kyle,256,0.715343561,19270,53.84636879
2013,F,9,Mia,255,0.610369094,2927,7.006079755
2011,M,24,Owen,255,0.6,"7,527",16.9
2004,M,25,Noah,255,0.605628785,8661,20.57000356
2003,F,11,Alexis,255,0.646191273,3951,10.0121636
1991,F,20,Melissa,255,0.653008963,8683,22.23559539
1989,M,39,Travis,255,0.660382245,18372,47.57859844
1984,F,23,Angela,255,0.76078525,9458,28.21767409
1980,F,24,Crystal,255,0.773172433,9628,29.19256542
2012,F,8,Elizabeth,254,0.6,"2,833",6.6
2010,M,23,Joseph,254,0.6,"7,354",16.6
2008,M,27,Jack,254,0.55110764,8705,18.88737009
2007,M,29,Jackson,254,0.555823012,9492,20.77114972
2005,M,25,Jack,254,0.600061424,8405,19.85636325
2004,M,26,Elijah,254,0.60325377,8915,21.17325733
2003,M,26,Evan,254,0.619210141,9079,22.1331058
1999,F,16,Grace,254,0.655466956,5461,14.09253955
1998,F,14,Rachel,254,0.654858587,5167,13.32147369
1997,F,14,Amanda,254,0.666491735,5254,13.78640777
1997,M,29,Christian,254,0.634508256,12193,30.45889436
1990,F,27,Michelle,254,0.654926127,10803,27.85498801
1989,M,40,Samuel,254,0.657792511,18626,48.23639095
1981,F,25,Tiffany,254,0.747058824,10160,29.88235294
2012,M,24,Isaac,253,0.6,"7,386",16.5
2011,M,25,Henry,253,0.6,"7,780",17.4
2009,M,23,Nathan,253,0.6,"7,536",16.5
2009,M,24,Owen,253,0.6,"7,789",17
2004,M,27,Christopher,253,0.600878756,9168,21.77413609
1992,M,39,Jesse,253,0.614346074,17864,43.37817493
1992,M,40,Taylor,253,0.614346074,18117,43.992521
1987,F,19,Laura,253,0.742414461,8507,24.96331944
1986,F,22,Christina,253,0.747260537,9189,27.14062085
1985,M,38,Jesse,253,0.705777331,18575,51.81744637
2009,M,25,Jack,252,0.6,"8,041",17.6
2007,M,30,Tyler,252,0.551446453,9744,21.32259617
2006,M,28,Jackson,252,0.565834381,9220,20.70235315
2003,M,27,Christopher,252,0.614334471,9331,22.74744027
2002,M,29,Isaac,252,0.622914349,10064,24.87702385
1984,M,37,Jesse,252,0.71168347,18383,51.9161795
2013,F,10,Charlotte,251,0.600794677,3178,7.606874431
2010,M,24,Caleb,251,0.6,"7,605",17.2
2010,M,25,Nathan,251,0.6,"7,856",17.8
2004,F,12,Alexis,251,0.633694362,4034,10.18455402
2002,M,30,James,251,0.620442467,10315,25.49746632
2001,F,14,Anna,251,0.644912641,4725,12.14028777
2001,F,15,Taylor,251,0.644912641,4976,12.78520041
2000,M,32,Jordan,251,0.60377177,11996,28.85596074
1998,M,34,Robert,251,0.614413003,12913,31.60922354
1996,M,31,Dylan,251,0.627343164,13043,32.59935016
1991,M,40,Travis,251,0.613766964,18819,46.01785059
2013,M,22,David,250,0.6,"6,770",15.1
2010,M,26,Owen,250,0.6,"8,106",18.3
2003,F,12,Hailey,250,0.633520856,4201,10.64568446
1997,M,30,Connor,250,0.624516,12443,31.08341036
2012,M,25,David,249,0.6,"7,635",17.1
2010,F,10,Chloe,249,0.6,"3,399",8
2007,M,31,Mason,249,0.544881614,9993,21.86747779
2005,F,12,Elizabeth,249,0.617927338,3958,9.82231487
1995,F,14,Anna,249,0.655573693,5336,14.04875994
1991,M,41,Timothy,249,0.608876391,19068,46.62672698
1988,M,40,Richard,249,0.669967174,18566,49.95425927
1984,M,38,Jeremy,249,0.703211048,18632,52.61939055
1984,M,39,Zachary,249,0.703211048,18881,53.3226016
1982,F,26,Lisa,249,0.733366713,10236,30.14755692
2013,M,23,Andrew,248,0.6,"7,018",15.7
2009,M,26,Isaac,248,0.5,"8,289",18.1
2008,F,12,Lily,248,0.6,"4,049",9.2
2008,M,28,Gavin,248,0.538089349,8953,19.42545944
2007,M,32,Jayden,248,0.542693335,10241,22.41017112
2006,M,29,Owen,248,0.556852883,9468,21.25920604
2003,M,28,Cameron,248,0.60458313,9579,23.3520234
2000,M,33,Christian,248,0.596555374,12244,29.45251612
1997,M,31,Aaron,248,0.619519872,12691,31.70293023
1989,F,22,Chelsea,248,0.67212315,9552,25.88758198
1988,M,41,Samuel,248,0.667276543,18814,50.62153581
1984,F,24,Laura,248,0.739900949,9706,28.95757503
2013,M,24,Owen,247,0.6,"7,265",16.2
2010,M,27,Joshua,247,0.6,"8,353",18.9
2009,M,27,Mason,247,0.5,"8,536",18.7
2006,M,30,Austin,247,0.554607509,9715,21.81381354
2005,M,26,Isaac,247,0.583524298,8652,20.43988755
1995,M,31,Thomas,247,0.629171124,13590,34.6171481
1991,F,21,Rebecca,247,0.632522407,8930,22.8681178
2008,M,29,Isaac,246,0.533749919,9199,19.95920936
2003,M,29,Isaac,246,0.59970746,9825,23.95173086
2001,F,16,Megan,246,0.632065776,5222,13.41726619
1994,F,14,Stephanie,246,0.650845305,5674,15.01177342
1991,F,22,Danielle,246,0.629961588,9176,23.49807939
1990,F,28,Laura,246,0.634298533,11049,28.48928654
1987,M,40,Derek,246,0.680648553,18553,51.33362847
2007,M,33,Jonathan,245,0.536128496,10486,22.94629962
2005,M,27,Christopher,245,0.578799405,8897,21.01868695
2002,M,31,John,245,0.605611173,10560,26.10307749
1997,M,32,Cody,245,0.61202568,12936,32.31495591
1996,F,14,Alyssa,245,0.647086789,5140,13.57561671
1994,M,33,Thomas,245,0.619187222,14822,37.45956328
1992,F,21,Shelby,245,0.633124015,8254,21.32981885
1992,M,41,Timothy,245,0.594920111,18362,44.58744112
1986,M,38,Jesse,245,0.689383494,18069,50.84273615
2013,M,25,Jack,244,0.5,"7,509",16.8
2009,M,28,Jonathan,244,0.5,"8,780",19.2
2009,M,29,Joseph,244,0.5,"9,024",19.7
2006,M,31,Isaac,244,0.547871385,9959,22.36168493
2005,M,28,Jonathan,244,0.576436958,9141,21.59512391
2002,M,32,Jonathan,244,0.603139291,10804,26.70621678
2000,F,17,Lauren,244,0.618833853,5740,14.55781278
1995,M,32,Kevin,244,0.62152937,13834,35.23867747
1987,M,41,Scott,244,0.675114825,18797,52.00874329
1985,F,21,Erin,244,0.709942099,9263,26.95161337
1983,F,24,Kimberly,244,0.732095172,10057,30.17492274
1982,M,38,Thomas,244,0.686627645,18802,52.90972535
1980,M,37,Mark,244,0.700565621,18354,52.69746476
2009,M,30,Ryan,243,0.5,"9,267",20.3
2003,F,13,Sophia,243,0.615782272,4444,11.26146673
1993,M,34,Connor,243,0.603516789,15664,38.90323863
1990,M,39,Samuel,243,0.597638957,19142,47.07820954
1989,F,23,Rebecca,243,0.65857228,9795,26.54615426
1989,M,41,Jeremy,243,0.629305433,18869,48.86569638
1986,M,39,Patrick,243,0.683755874,18312,51.52649202
1985,F,22,Brittany,243,0.7070325,9506,27.65864587
1982,M,39,Paul,243,0.683813598,19045,53.59353895
2008,F,13,Natalie,242,0.5,"4,291",9.7
2003,F,14,Ashley,242,0.613248188,4686,11.87471492
2003,M,30,Elijah,242,0.589956119,10067,24.54168698
1990,M,40,Cameron,242,0.595179538,19384,47.67338908
1985,M,39,Richard,242,0.675091361,18817,52.49253773
1984,F,25,Sara,242,0.722000119,9948,29.67957515
2004,M,28,Austin,241,0.572378577,9409,22.34651467
2004,M,29,Brandon,241,0.572378577,9650,22.91889324
2003,M,31,Austin,241,0.587518284,10308,25.12920527
2002,M,33,Brandon,241,0.595723644,11045,27.30194043
1997,F,15,Lauren,241,0.632379953,5495,14.41878772
1991,F,23,Heather,241,0.61715749,9417,24.11523688
1989,F,24,Katherine,241,0.653151932,10036,27.1993062
2011,M,26,Anthony,240,0.5,"8,020",18
2009,M,31,Caleb,240,0.5,"9,507",20.8
2008,F,14,Samantha,240,0.5,"4,531",10.3
2005,M,29,Aiden,240,0.566987172,9381,22.16211108
2002,F,15,Jessica,240,0.622616546,4792,12.43157704
1987,M,42,Jordan,240,0.664047369,19037,52.67279066
1983,F,25,Tiffany,240,0.720093612,10297,30.89501635
1982,M,40,Sean,240,0.675371454,19285,54.2689104
2003,F,15,Anna,239,0.605645938,4925,12.48036085
1999,F,17,Anna,239,0.616758277,5700,14.70929782
1988,F,21,Kelsey,239,0.676096181,8967,25.36633663
2013,F,11,Amelia,238,0.569677821,3416,8.176552252
2013,M,26,Gabriel,238,0.5,"7,747",17.3
2006,F,14,Hailey,238,0.562528067,4500,10.63603489
2005,F,13,Natalie,238,0.590629343,4196,10.41294421
2004,M,30,Evan,238,0.565253533,9888,23.48414678
2003,F,16,Sarah,238,0.603111854,5163,13.08347271
1999,M,33,Hunter,238,0.583004679,12435,30.46076966
1998,F,15,Alyssa,238,0.613607652,5405,13.93508134
1998,M,35,Hunter,238,0.582590816,13151,32.19181435
1997,F,16,Olivia,238,0.624508003,5733,15.04329572
1990,M,41,Patrick,238,0.585341859,19622,48.25873094
1985,F,23,Angela,238,0.692484506,9744,28.35113038
1981,F,26,Laura,238,0.7,10398,30.58235294
1980,F,25,Andrea,238,0.721627604,9866,29.91419302
1980,M,38,Kyle,238,0.683338597,18592,53.38080335
2006,M,32,Caleb,237,0.532153763,10196,22.89383869
2005,F,14,Ella,237,0.588147707,4433,11.00109192
2001,F,17,Alyssa,237,0.608941418,5459,14.02620761
2001,M,31,Christian,237,0.58347079,10948,26.95290381
1995,F,15,Courtney,237,0.62397978,5573,14.67273972
1989,M,42,Jason,237,0.613767028,19106,49.47946341
1987,F,20,Christina,237,0.695463349,8744,25.65878279
1986,M,40,Richard,237,0.666873013,18549,52.19336504
1984,F,26,Jamie,237,0.707082762,10185,30.38665792
2011,M,27,Matthew,236,0.5,"8,256",18.5
2010,M,28,Lucas,236,0.5,"8,589",19.4
2008,M,30,Tyler,236,0.512052768,9435,20.47126212
2004,M,31,Gabriel,236,0.560503503,10124,24.04465028
2002,M,34,Jose,236,0.583364232,11281,27.88530466
2001,M,32,Kyle,236,0.581008888,11184,27.5339127
1993,F,19,Danielle,236,0.612939252,7292,18.93878399
1992,F,22,Lauren,236,0.609866398,8490,21.93968525
1990,M,42,Jeffrey,236,0.58042302,19858,48.83915396
1987,M,43,Jesse,236,0.652979913,19273,53.32577057
1983,M,40,Mark,236,0.667609618,19601,55.44837341
1981,F,27,Sara,236,0.694117647,10634,31.27647059
1981,M,40,Paul,236,0.659457345,19506,54.50582614
2009,M,32,Lucas,235,0.5,"9,742",21.3
2008,M,31,Evan,235,0.509883052,9670,20.98114518
1990,M,43,Taylor,235,0.577963601,20093,49.41711756
1980,M,39,Chad,235,0.674725085,18827,54.05552844
2011,M,28,Joshua,234,0.5,"8,490",19
2007,M,34,Caleb,234,0.512057421,10720,23.45835704
2007,M,35,Jose,234,0.512057421,10954,23.97041446
2005,M,30,Jackson,234,0.552812493,9615,22.71492357
2003,M,32,Connor,234,0.570453437,10542,25.6996587
1999,M,34,Robert,234,0.573206281,12669,31.03397595
1997,M,33,Robert,234,0.584546976,13170,32.89950289
1994,M,34,Jesse,234,0.591386979,15056,38.05095026
1987,F,21,Kayla,234,0.686660015,8978,26.34544281
1985,F,24,Sara,234,0.680846111,9978,29.03197649
1982,M,41,Mark,234,0.658487168,19519,54.92739757
1980,F,26,Shannon,234,0.709499409,10100,30.62369243
2011,F,8,Madison,233,0.6,"2,792",6.6
2008,M,32,Wyatt,233,0.505543622,9903,21.4866888
2007,F,13,Samantha,233,0.53906485,4387,10.14968882
2006,M,33,Evan,233,0.523172265,10429,23.41701096
2006,M,34,Gavin,233,0.523172265,10662,23.94018322
2006,M,35,Isaiah,233,0.523172265,10895,24.46335549
2001,M,33,Hunter,233,0.573623181,11417,28.10753588
1994,F,15,Courtney,233,0.616451041,5907,15.62822446
1990,M,44,Austin,233,0.573044761,20326,49.99016232
1987,F,22,Sara,233,0.683725571,9211,27.02916838
1986,M,41,Scott,233,0.655617772,18782,52.84898281
1985,F,25,Kimberly,233,0.677936513,10211,29.709913
1984,M,40,Patrick,233,0.658024796,19114,53.98062639
1983,F,26,Laura,233,0.699090882,10530,31.59410723
1982,M,42,Dustin,233,0.65567312,19752,55.58307069
2011,F,9,Chloe,232,0.5,"3,024",7.1
2010,F,11,Ella,232,0.5,"3,631",8.6
2007,F,14,Chloe,232,0.536751267,4619,10.68644009
2007,F,15,Natalie,232,0.536751267,4851,11.22319136
2006,F,15,Chloe,232,0.548346688,4732,11.18438157
1999,M,35,Connor,232,0.568307082,12901,31.60228303
1997,F,17,Alyssa,232,0.608764104,5965,15.65205983
1993,M,35,Thomas,232,0.576197099,15896,39.47943572
1992,F,23,Michelle,232,0.599529679,8722,22.53921493
1991,F,24,Michelle,232,0.594110115,9649,24.70934699
2008,M,33,Christopher,231,0.501204192,10134,21.98789299
2003,M,33,Jonathan,231,0.563139932,10773,26.26279863
2002,F,16,Lauren,231,0.599268426,5023,13.03084546
1999,F,18,Kayla,231,0.596113649,5931,15.30541147
1994,F,16,Lauren,231,0.611159616,6138,16.23938408
1989,M,43,Richard,231,0.598228622,19337,50.07769203
1988,F,22,Rebecca,231,0.653465347,9198,26.01980198
1985,F,26,Tiffany,231,0.672117315,10442,30.38203032
2012,F,9,Mia,230,0.5,"3,063",7.2
2004,F,13,Ella,230,0.580676109,4264,10.76523012
2003,M,34,Brandon,230,0.560702097,11003,26.82350073
2001,M,34,Justin,230,0.566237475,11647,28.67377336
1996,F,15,Alexis,230,0.60746923,5370,14.18308594
1992,M,42,Travis,230,0.558496431,18592,45.14593755
1985,F,27,Andrea,230,0.669207716,10672,31.05123803
1985,F,28,Katie,230,0.669207716,10902,31.72044575
1981,M,41,Dustin,230,0.64269148,19736,55.14851762
2012,F,10,Ella,229,0.5,"3,292",7.7
2005,F,15,Alexis,229,0.56829462,4662,11.56938654
2005,M,31,Nicholas,229,0.54100026,9844,23.25592383
2004,M,32,Jonathan,229,0.543878399,10353,24.58852868
2002,M,35,Justin,229,0.566061056,11510,28.45136572
2000,F,18,Hailey,229,0.580790789,5969,15.13860357
1998,F,16,Abigail,229,0.590404001,5634,14.52548534
1997,F,18,Nicole,229,0.600892154,6194,16.25295198
1996,M,32,Thomas,229,0.572356911,13272,33.17170707
1993,M,36,Cameron,229,0.568746275,16125,40.048182
1991,M,42,Cameron,229,0.559970657,19297,47.18669764
1988,F,23,Christina,229,0.647807638,9427,26.66760962
1988,F,24,Courtney,229,0.647807638,9656,27.31541726
2012,M,26,Anthony,228,0.5,"7,863",17.6
2011,F,10,Elizabeth,228,0.5,"3,252",7.7
2004,M,33,Jackson,228,0.541503384,10581,25.13003206
2003,M,35,Aidan,228,0.555826426,11231,27.37932716
2001,F,18,Isabella,228,0.585817061,5687,14.61202467
1996,F,16,Nicole,228,0.602186889,5598,14.78527283
1994,F,17,Alyssa,228,0.603222478,6366,16.84260656
1994,F,18,Brittany,228,0.603222478,6594,17.44582903
1993,F,20,Courtney,228,0.59216165,7520,19.53094564
1991,F,25,Amber,228,0.583866837,9877,25.29321383
1989,M,44,Derek,228,0.590459419,19565,50.66815145
1980,M,40,Charles,228,0.654626891,19055,54.71015533
2011,F,11,Ella,227,0.5,"3,479",8.2
2009,F,11,Natalie,227,0.521251923,3695,8.484695401
2009,M,33,Gavin,227,0.5,"9,969",21.8
2007,M,36,Evan,227,0.496739463,11181,24.46715392
2007,M,37,Lucas,227,0.496739463,11408,24.96389339
2006,F,16,Mia,227,0.536528871,4959,11.72091044
2003,M,36,Jose,227,0.553388591,11458,27.93271575
1999,F,19,Lauren,227,0.585791334,6158,15.89120281
1995,F,16,Nicole,227,0.597651519,5800,15.27039124
1993,F,21,Rebecca,227,0.58956445,7747,20.12051009
1992,F,24,Katherine,227,0.586608781,8949,23.12582371
1991,F,26,Courtney,227,0.581306018,10104,25.87451985
1988,M,42,Jeremy,227,0.610773287,19041,51.2323091
1988,M,43,Scott,227,0.610773287,19268,51.84308239
1986,F,23,Katie,227,0.670466964,9416,27.81108781
2013,M,27,Joseph,226,0.5,"7,973",17.8
2011,F,12,Natalie,226,0.5,"3,705",8.8
2009,F,12,Addison,226,0.518955659,3921,9.00365106
2008,M,34,Hunter,226,0.490355616,10360,22.47824861
2007,F,16,Lily,226,0.522869768,5077,11.74606112
2002,M,36,Kyle,226,0.558645409,11736,29.01001112
2000,M,34,Thomas,226,0.543635139,12470,29.99615126
1996,M,33,Kevin,226,0.564858785,13498,33.73656586
1989,F,25,Laura,226,0.612499323,10262,27.81180552
1988,F,25,Lauren,226,0.639321075,9882,27.95473833
1985,F,29,Katherine,226,0.657569321,11128,32.37801507
1984,F,27,Kimberly,226,0.674264574,10411,31.06092249
1982,F,27,Laura,226,0.665626012,10462,30.81318293
1982,M,43,Patrick,226,0.635974786,19978,56.21904547
2010,M,29,Matthew,225,0.5,"8,814",19.9
2004,M,34,Jose,225,0.53437834,10806,25.6644104
1991,F,27,Alyssa,225,0.576184379,10329,26.45070423
1991,M,43,Jeffrey,225,0.55018951,19522,47.73688715
1991,M,44,Patrick,225,0.55018951,19747,48.28707666
1990,M,45,Adam,225,0.553369405,20551,50.54353173
1987,F,23,Amy,225,0.660250015,9436,27.68941839
1980,M,41,Sean,225,0.64601338,19280,55.35616871
2007,M,38,Isaiah,224,0.490174625,11632,25.45406801
2004,M,35,Gavin,224,0.532003325,11030,26.19641373
2003,F,17,Chloe,224,0.567634687,5387,13.65110739
2002,F,17,Anna,224,0.581108776,5247,13.61195424
2001,M,35,Connor,224,0.551466063,11871,29.22523942
1987,F,24,Rebecca,224,0.65731557,9660,28.34673396
1985,F,30,Jamie,224,0.651750124,11352,33.0297652
1985,M,40,Scott,224,0.624877954,19041,53.11741568
1984,F,28,Andrea,224,0.668297631,10635,31.72922012
2010,M,30,Wyatt,223,0.5,"9,037",20.4
2009,F,13,Ella,223,0.512066867,4144,9.515717927
2007,F,17,Ella,223,0.515929019,5300,12.26199014
2006,F,17,Ella,223,0.527074618,5182,12.24798506
2006,M,36,Jonathan,223,0.50071852,11118,24.96407401
2002,F,18,Hailey,223,0.578514541,5470,14.19046878
2002,M,37,Connor,223,0.551229762,11959,29.56124089
2000,F,19,Sydney,223,0.565573563,6192,15.70417713
1985,F,31,Crystal,223,0.648840525,11575,33.67860572
1983,F,27,Andrea,223,0.669086981,10753,32.26319422
2012,F,11,Evelyn,222,0.5,"3,514",8.2
2011,F,13,Grace,222,0.5,"3,927",9.3
2011,M,29,Caleb,222,0.5,"8,712",19.5
2009,F,14,Lily,222,0.509770603,4366,10.02548853
2008,F,15,Ella,222,0.5,"4,753",10.8
2005,M,32,Evan,222,0.524463134,10066,23.78038697
2004,F,14,Ashley,222,0.560478679,4486,11.3257088
2004,F,15,Hailey,222,0.560478679,4708,11.88618748
2004,M,36,Mason,222,0.527253295,11252,26.72366702
2002,F,19,Taylor,222,0.575920305,5692,14.76638908
1995,M,33,Christian,222,0.565489837,14056,35.8041673
1993,M,37,Taylor,222,0.551361017,16347,40.59954302
1992,F,25,Courtney,222,0.573687883,9171,23.69951159
1987,M,44,Cody,222,0.614243816,19495,53.94001439
1987,M,45,Patrick,222,0.614243816,19717,54.5542582
1983,F,28,Lisa,222,0.666086591,10975,32.92928081
1983,M,41,Paul,222,0.628005658,19823,56.07637907
1982,M,44,Charles,222,0.624718595,20200,56.84376407
2008,M,35,Caleb,221,0.479507041,10581,22.95775565
2008,M,36,Owen,221,0.479507041,10802,23.43726269
2001,M,36,Isaac,221,0.544080357,12092,29.76931978
2000,F,20,Alyssa,221,0.560501154,6413,16.26467828
1990,M,46,Derek,221,0.543531727,20772,51.08706345
1988,F,26,Chelsea,221,0.625176803,10103,28.57991513
1983,F,29,Danielle,221,0.663086201,11196,33.59236701
2013,M,28,Hunter,220,0.5,"8,193",18.3
2011,M,30,Jack,220,0.5,"8,932",20
2011,M,31,Joseph,220,0.5,"9,152",20.5
2009,M,34,Landon,220,0.5,"10,189",22.3
2009,M,35,Wyatt,220,0.5,"10,409",22.8
2004,F,16,Anna,220,0.555429322,4928,12.4416168
2004,F,17,Chloe,220,0.555429322,5148,12.99704613
2004,F,18,Natalie,220,0.555429322,5368,13.55247545
2002,M,38,Isaiah,220,0.543814114,12179,30.105055
2001,F,19,Chloe,220,0.565262076,5907,15.17728674
1996,M,34,Aaron,220,0.549862534,13718,34.28642839
1995,M,34,Dylan,220,0.560395333,14276,36.36456264
1994,F,19,Brianna,220,0.582056777,6814,18.02788581
1992,F,26,Melissa,220,0.568519524,9391,24.26803111
1992,M,43,Trevor,220,0.534213977,18812,45.68015152
1989,F,26,Courtney,220,0.596238279,10482,28.4080438
1988,M,44,Jesse,220,0.591938869,19488,52.43502126
1987,F,25,Kelsey,220,0.645577792,9880,28.99231176
1987,F,26,Tiffany,220,0.645577792,10100,29.63788955
1986,F,24,Kimberly,220,0.649791771,9636,28.46087958
1982,F,28,Danielle,220,0.647954525,10682,31.46113745
2004,M,37,Christian,219,0.520128251,11471,27.24379527
2004,M,38,Connor,219,0.520128251,11690,27.76392352
2003,M,37,Hunter,219,0.533885909,11677,28.46660166
2002,F,20,Sophia,219,0.568137598,5911,15.33452668
2002,M,39,Mason,219,0.541342232,12398,30.64639723
2001,F,20,Hailey,219,0.562692703,6126,15.73997945
1999,M,36,Thomas,219,0.536462288,13120,32.13874532
