year,sex,rank,name,size,perc,total_size,total_perc
1994,M,11,Daniel,519,1.311665993,6727,17.00111201
1994,M,12,Zachary,517,1.306611403,7244,18.30772341
1987,M,12,Brandon,516,1.427701843,8648,23.92784019
1986,M,12,James,516,1.451926053,8607,24.21846422
2004,M,1,Jacob,515,1.223132645,515,1.223132645
1989,M,14,James,515,1.333713161,9655,25.0038846
2001,F,1,Emily,514,1.32065776,514,1.32065776
1998,M,4,Joshua,514,1.258200333,2453,6.004601978
1996,M,6,Brandon,514,1.28467883,3734,9.332666833
1995,M,9,Daniel,514,1.309287279,5518,14.05573386
1993,M,16,David,514,1.276574608,9543,23.70107292
2007,M,1,Jacob,513,1.122587422,513,1.122587422
2000,M,2,Joshua,513,1.234003656,1172,2.819205234
1997,M,6,Tyler,513,1.281506832,3587,8.960555569
1985,M,14,Robert,513,1.431082099,10000,27.89633721
2000,F,2,Hannah,512,1.29853661,1068,2.70866621
1994,M,13,Alexander,512,1.293974929,7756,19.60169834
1994,M,14,Ryan,512,1.293974929,8268,20.89567327
1989,F,5,Brittany,512,1.387609085,3635,9.851482465
1984,M,13,Robert,511,1.443135926,9512,26.86322686
1980,M,14,Brian,511,1.467168165,10296,29.56157225
1996,M,7,Nicholas,510,1.27468133,4244,10.60734816
1993,F,4,Emily,510,1.324572111,2368,6.150170117
1988,M,13,Tyler,510,1.372221923,9128,24.5600818
1984,M,14,Joseph,510,1.440311785,10022,28.30353865
1980,M,15,Nicholas,510,1.464296994,10806,31.02586925
1999,M,3,Joshua,509,1.246846141,1758,4.306395904
1998,M,5,Andrew,509,1.24596103,2962,7.250563008
1986,M,13,Robert,509,1.432229382,9116,25.6506936
1996,M,8,Andrew,506,1.264683829,4750,11.87203199
1996,M,9,Matthew,505,1.262184454,5255,13.13421645
1987,M,13,James,505,1.397266338,9153,25.32510652
1987,M,14,Robert,505,1.397266338,9658,26.72237286
2000,M,3,Michael,504,1.212354469,1676,4.031559704
1998,F,2,Hannah,504,1.29940444,1076,2.774125351
1997,M,7,Alexander,504,1.259024256,4091,10.21957983
1981,M,16,Nicholas,504,1.408332635,11432,31.94456087
1995,M,10,Andrew,503,1.281267512,6021,15.33700138
2004,M,2,Ethan,501,1.189882437,1016,2.413015081
1986,M,14,Jacob,501,1.4097189,9617,27.0604125
1982,F,5,Melissa,501,1.475569169,3606,10.62056372
1992,M,16,Joseph,500,1.214122675,10131,24.60055364
1998,M,6,Alexander,499,1.221482424,3461,8.472045432
1989,M,15,Joseph,499,1.292277412,10154,26.29616201
1984,M,15,John,499,1.409246237,10521,29.71278489
2003,M,2,Ethan,498,1.214041931,1042,2.540224281
1992,F,4,Amanda,498,1.286921467,2449,6.328655968
1991,M,15,James,498,1.217752782,10057,24.59224844
1982,M,14,Brian,498,1.401395768,10266,28.88901396
1995,M,11,Alexander,497,1.265984003,6518,16.60298538
1991,M,16,Joseph,497,1.215307495,10554,25.80755594
1982,M,15,Andrew,497,1.39858172,10763,30.28759568
1991,M,17,Jordan,496,1.212862208,11050,27.02041814
1984,M,16,Nicholas,494,1.395125533,11015,31.10791042
2000,M,4,Alexander,493,1.185894352,2169,5.217454056
1994,M,15,Kyle,493,1.245956328,8761,22.1416296
1980,M,16,Andrew,493,1.415487094,11299,32.44135634
2006,M,1,Jacob,492,1.104724268,492,1.104724268
1988,M,14,Jacob,492,1.323790561,9620,25.88387236
1988,F,5,Jennifer,491,1.388967468,3710,10.49504951
1985,F,6,Nicole,491,1.428612994,4212,12.25523
1999,F,2,Hannah,490,1.264483497,1056,2.725090965
2002,F,1,Emily,489,1.268581213,489,1.268581213
1990,M,16,Joseph,488,1.200196754,10988,27.02410231
2005,M,1,Jacob,487,1.15051147,487,1.15051147
1988,M,15,Brandon,487,1.310337405,10107,27.19420976
1986,M,15,Joseph,487,1.370325558,10104,28.43073806
1986,M,16,Justin,487,1.370325558,10591,29.80106362
2004,F,1,Emma,486,1.226993865,486,1.226993865
1999,M,4,Andrew,486,1.190505352,2244,5.496901257
1990,M,17,Zachary,486,1.195277914,11474,28.21938023
1995,M,12,Christopher,485,1.235416985,7003,17.83840236
1995,M,13,Zachary,485,1.235416985,7488,19.07381935
1992,F,5,Samantha,485,1.253327131,2934,7.5819831
1993,F,5,Samantha,483,1.254447705,2851,7.404617822
1982,M,16,Brandon,483,1.359185052,11246,31.64678073
2000,M,5,Andrew,482,1.159434235,2651,6.37688829
1991,M,18,Alexander,482,1.178628194,11532,28.19904634
2003,F,2,Emily,481,1.218894126,1033,2.617708175
1983,M,18,Adam,481,1.360678925,12449,35.21640735
2001,M,2,Joshua,480,1.181712992,1122,2.762254118
1994,F,4,Sarah,480,1.269942059,2236,5.915813424
1984,M,17,Brian,480,1.355587563,11495,32.46349798
2007,M,2,Ethan,479,1.048185916,992,2.170773338
1997,M,8,Daniel,479,1.196572656,4570,11.41615248
2000,M,6,Tyler,478,1.149812374,3129,7.526700664
1985,M,15,Jason,478,1.333444919,10478,29.22978213
1992,F,6,Emily,477,1.232653694,3411,8.814636794
1997,M,9,Matthew,476,1.189078464,5046,12.60523095
1996,M,10,Ryan,476,1.189702574,5731,14.32391902
1981,M,17,Aaron,476,1.330091933,11908,33.27465281
1994,M,16,David,475,1.200465022,9236,23.34209462
1993,M,17,Cody,475,1.179713888,10018,24.88078681
1990,F,5,Brittany,475,1.224763427,3494,9.009101926
1988,M,16,Joseph,475,1.278049831,10582,28.47225959
2010,F,1,Sophia,474,1.1,474,1.1
